datum_snapshot,datum_slot,uhrzeit_slot,dauer_minuten,court,preis,status,tage_im_voraus
2026-05-20T09:53:59,2026-05-21,13:00,120,Court 3,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:30,60,Court 3,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:30,90,Court 3,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,13:30,120,Court 3,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:00,60,Court 3,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:00,90,Court 3,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:00,120,Court 3,48.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:30,60,Court 3,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:30,90,Court 3,36.0,frei,1
2026-05-20T09:53:59,2026-05-21,14:30,120,Court 3,56.0,frei,1
2026-05-20T09:53:59,2026-05-21,15:00,60,Court 3,24.0,frei,1
2026-05-20T09:53:59,2026-05-21,15:00,90,Court 3,44.0,frei,1
2026-05-20T09:53:59,2026-05-21,15:00,120,Court 3,64.0,frei,1
2026-05-20T09:53:59,2026-05-21,15:30,60,Court 3,32.0,frei,1
2026-05-20T09:53:59,2026-05-21,15:30,90,Court 3,52.0,frei,1
2026-05-20T09:53:59,2026-05-21,15:30,120,Court 3,72.0,frei,1
2026-05-20T09:53:59,2026-05-21,16:00,60,Court 3,40.0,frei,1
2026-05-20T09:53:59,2026-05-21,16:00,90,Court 3,60.0,frei,1
2026-05-20T09:53:59,2026-05-21,16:00,120,Court 3,80.0,frei,1
2026-05-20T09:53:59,2026-05-21,16:30,60,Court 3,40.0,frei,1
2026-05-20T09:53:59,2026-05-21,16:30,90,Court 3,60.0,frei,1
2026-05-20T09:53:59,2026-05-21,16:30,120,Court 3,80.0,frei,1
2026-05-20T09:53:59,2026-05-21,17:00,60,Court 3,40.0,frei,1
2026-05-20T09:53:59,2026-05-21,17:00,90,Court 3,60.0,frei,1
2026-05-20T09:53:59,2026-05-21,17:00,120,Court 3,80.0,frei,1
2026-05-20T09:53:59,2026-05-21,17:30,60,Court 3,40.0,frei,1
